user_name,comment,replies,titles,urlis,times,company,polarity
Rdad,Actually a legit few minutes. Shocked since he really isn’t very good. But this was good,0,#budlight is a little crazy huh? 😂 #fyp #standupcomedy #comedy ,https://m.tiktok.com/v/7223213788324023594.html?_d=egleckh145dhmb&comment_author_id=6771511746084848646&preview_pb=0&share_comment_id=7224129267593790254&share_item_id=7223213788324023594&sharer_language=en&source=h5_m&u_code=0,2023-04-20 13:51:46+00:00,BudLight,60
HendricksBloodlines,"Hilarious, ive been a fan since the fox days.",0,#budlight is a little crazy huh? 😂 #fyp #standupcomedy #comedy ,https://m.tiktok.com/v/7223213788324023594.html?_d=egleckh145dhmb&comment_author_id=6962983757259555845&preview_pb=0&share_comment_id=7223459407136228142&share_item_id=7223213788324023594&sharer_language=en&source=h5_m&u_code=0,2023-04-18 18:32:04+00:00,BudLight,70
twojay05,You handled that a little TOO well bro…,0,#budlight is a little crazy huh? 😂 #fyp #standupcomedy #comedy ,https://m.tiktok.com/v/7223213788324023594.html?_d=egleckh145dhmb&comment_author_id=6729735077759140869&preview_pb=0&share_comment_id=7223865742721368875&share_item_id=7223213788324023594&sharer_language=en&source=h5_m&u_code=0,2023-04-19 20:48:44+00:00,BudLight,30
doggface208,This MF 😅,0,#budlight is a little crazy huh? 😂 #fyp #standupcomedy #comedy ,https://m.tiktok.com/v/7223213788324023594.html?_d=egleckh145dhmb&comment_author_id=6734826725426267142&preview_pb=0&share_comment_id=7223259207757218606&share_item_id=7223213788324023594&sharer_language=en&source=h5_m&u_code=0,2023-04-18 05:35:36+00:00,BudLight,-85
mikeblack4351,Amazing cawmic 👍🏽,0,#budlight is a little crazy huh? 😂 #fyp #standupcomedy #comedy ,https://m.tiktok.com/v/7223213788324023594.html?_d=egleckh145dhmb&comment_author_id=7015599115830035462&preview_pb=0&share_comment_id=7225120536727683866&share_item_id=7223213788324023594&sharer_language=en&source=h5_m&u_code=0,2023-04-23 05:58:16+00:00,BudLight,60
QUESADA,Yerrr,0,#budlight is a little crazy huh? 😂 #fyp #standupcomedy #comedy ,https://m.tiktok.com/v/7223213788324023594.html?_d=egleckh145dhmb&comment_author_id=6664409444685971461&preview_pb=0&share_comment_id=7223214857990390570&share_item_id=7223213788324023594&sharer_language=en&source=h5_m&u_code=0,2023-04-18 02:43:05+00:00,BudLight,40
Mike_Toledo_98,😂😂😂,0,#budlight is a little crazy huh? 😂 #fyp #standupcomedy #comedy ,https://m.tiktok.com/v/7223213788324023594.html?_d=egleckh145dhmb&comment_author_id=6582974458860011526&preview_pb=0&share_comment_id=7223274104194843438&share_item_id=7223213788324023594&sharer_language=en&source=h5_m&u_code=0,2023-04-18 06:33:28+00:00,BudLight,85
Hector Payan Ontiver,😂😂😂😂😂,0,#budlight is a little crazy huh? 😂 #fyp #standupcomedy #comedy ,https://m.tiktok.com/v/7223213788324023594.html?_d=egleckh145dhmb&comment_author_id=6754871760770974726&preview_pb=0&share_comment_id=7223365685396226862&share_item_id=7223213788324023594&sharer_language=en&source=h5_m&u_code=0,2023-04-18 12:28:29+00:00,BudLight,100
Jioo,🤣🤣🤣,0,#budlight is a little crazy huh? 😂 #fyp #standupcomedy #comedy ,https://m.tiktok.com/v/7223213788324023594.html?_d=egleckh145dhmb&comment_author_id=6714824871496778758&preview_pb=0&share_comment_id=7223452560409297710&share_item_id=7223213788324023594&sharer_language=en&source=h5_m&u_code=0,2023-04-18 18:05:35+00:00,BudLight,100
Zach Hornsby,buddy in the back is not supposed to be golfing today 👀,9,#budlight #fyp #morganwallen #golf,https://m.tiktok.com/v/7222338777501469995.html?_d=egleckh145dhmb&comment_author_id=6760436589904348165&preview_pb=0&share_comment_id=7222413404509094702&share_item_id=7222338777501469995&sharer_language=en&source=h5_m&u_code=0,2023-04-15 22:52:56+00:00,BudLight,50
Matt Wilson,How did I notice the BL can before words were said lol,0,#budlight #fyp #morganwallen #golf,https://m.tiktok.com/v/7222338777501469995.html?_d=egleckh145dhmb&comment_author_id=6857342741937226758&preview_pb=0&share_comment_id=7222421107579683626&share_item_id=7222338777501469995&sharer_language=en&source=h5_m&u_code=0,2023-04-15 23:22:57+00:00,BudLight,30
TheMeatTenders,Jeans on a golf course,4,#budlight #fyp #morganwallen #golf,https://m.tiktok.com/v/7222338777501469995.html?_d=egleckh145dhmb&comment_author_id=6647690548873052166&preview_pb=0&share_comment_id=7222666700817908522&share_item_id=7222338777501469995&sharer_language=en&source=h5_m&u_code=0,2023-04-16 15:15:56+00:00,BudLight,20
KyleBro4,Guy in the back realized he has bills to pay,1,#budlight #fyp #morganwallen #golf,https://m.tiktok.com/v/7222338777501469995.html?_d=egleckh145dhmb&comment_author_id=7180098661313168427&preview_pb=0&share_comment_id=7222421471616336683&share_item_id=7222338777501469995&sharer_language=en&source=h5_m&u_code=0,2023-04-15 23:24:21+00:00,BudLight,20
Kayla Ricchio,I’ve found Wisco people 🙌🏼,0,#budlight #fyp #morganwallen #golf,https://m.tiktok.com/v/7222338777501469995.html?_d=egleckh145dhmb&comment_author_id=6814186217519203334&preview_pb=0&share_comment_id=7222741901925466922&share_item_id=7222338777501469995&sharer_language=en&source=h5_m&u_code=0,2023-04-16 20:07:48+00:00,BudLight,60
someguyontiktokfromca,Never underestimate the power of the consumer.,44,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=7008769490604917766&preview_pb=0&share_comment_id=7226542692531274539&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-27 01:56:38+00:00,BudLight,50
user8604962551785,buck fudweiser,9,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=7066121294157792303&preview_pb=0&share_comment_id=7225726300915401514&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-24 21:08:36+00:00,BudLight,0
Stonemason63,Let our money speak for how we feel 👍🏼👍🏼💯🇺🇸. About time. Team USA.,3,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6791127257852937221&preview_pb=0&share_comment_id=7226132360059945771&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-25 23:24:30+00:00,BudLight,50
S1llyf3llah,You should try yuengling since it’s in Texas now,20,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6737009453550732294&preview_pb=0&share_comment_id=7225709857477935918&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-24 20:04:49+00:00,BudLight,50
Texasippigirl 🇺🇸❤️,"Shiner and Yuengling have always been better, I said what I said",7,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6980310057460237317&preview_pb=0&share_comment_id=7225789232602055470&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-25 01:12:51+00:00,BudLight,20
The Effing Saddle Tramp,Shiner gang for life,15,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6839834813840360454&preview_pb=0&share_comment_id=7225675116724618030&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-24 17:50:07+00:00,BudLight,60
FormerMarine1975,I switched to microbrews. Much better.,2,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6803711877563171846&preview_pb=0&share_comment_id=7226475416021041962&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-26 21:35:37+00:00,BudLight,50
powerofthepeople1776,Boy did they misjudge their market.😳,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6660935770393903110&preview_pb=0&share_comment_id=7225786157786563371&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-25 01:00:58+00:00,BudLight,10
galaxygal935,InBev ruined A.B. Years ago.,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=7128891798126724138&preview_pb=0&share_comment_id=7226147409528619818&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-26 00:22:47+00:00,BudLight,-80
Scott Bassin,I now identify as a Yuengling drinker. Much better anyway,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6912076491577181190&preview_pb=0&share_comment_id=7226530040640652075&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-27 01:07:38+00:00,BudLight,20
swinginmetal,dude you are the king of tick tock bringing Shiner on board sweet baby 🔥🔥🔥🔥🤘🤘🤘🤘🤘,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6951305623989126150&preview_pb=0&share_comment_id=7225686006564750123&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-24 18:32:27+00:00,BudLight,85
Lucas Cook,Modelos r the wave,2,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6704680071715816454&preview_pb=0&share_comment_id=7226450993792549674&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-26 20:00:54+00:00,BudLight,25
daleraber,good bye bud,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=7024620528838493189&preview_pb=0&share_comment_id=7225833569672659758&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-25 04:05:13+00:00,BudLight,20
jondoe,Shiner boch from shiner texas!! 👍🍻,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=7140097540716528686&preview_pb=0&share_comment_id=7226563272563065642&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-27 03:16:30+00:00,BudLight,50
donnagolden355,Yuengling is GREAT!,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6931403143717684230&preview_pb=0&share_comment_id=7226947576659641134&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-28 04:08:04+00:00,BudLight,80
nobody,Cheers to all the beer drinkers for final standing up straight!,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6826905265654547461&preview_pb=0&share_comment_id=7227613549560988462&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-29 23:12:16+00:00,BudLight,50
vbjdivf33,here in Florida I couldn't help but laughing when the Budweiser guy from the check the stock and he took a picture and the guy running the convenience,1,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6727533051675149317&preview_pb=0&share_comment_id=7235017854465327914&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-05-19 22:04:38+00:00,BudLight,45
tinmark23,"Started drinking Blue Moon years ago before Coors bought them. Little more expensive, but oh so good.",4,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=7058933589002486831&preview_pb=0&share_comment_id=7226176033636287274&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-26 02:13:51+00:00,BudLight,40
Jorge Erives,Bud owns Shiner also lol,2,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6812315190253143045&preview_pb=0&share_comment_id=7226838173636576046&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-27 21:03:19+00:00,BudLight,30
Frogs and hogs,Stay strong !!! Leave it on the shelf!!!,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=7166412354163278894&preview_pb=0&share_comment_id=7225774622788600619&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-25 00:16:15+00:00,BudLight,50
Josh,They managed to unite blue and red,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=7051399729805476869&preview_pb=0&share_comment_id=7226528462784365358&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-27 01:01:24+00:00,BudLight,75
Joe,PBR for the win,1,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6992204608798491654&preview_pb=0&share_comment_id=7226167328229753646&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-26 01:40:04+00:00,BudLight,80
Mateus,Bye bud,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6922215255793009670&preview_pb=0&share_comment_id=7226075890497045290&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-25 19:45:28+00:00,BudLight,20
rwitt,Discover yuengling light.....and what their company is about. it's the ultimate replacement. taste and class,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=7069951081069593643&preview_pb=0&share_comment_id=7226537474972877611&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-27 01:36:27+00:00,BudLight,25
Momma G,Bud who? 😂 👏👏👏,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6943412996015571974&preview_pb=0&share_comment_id=7226782528023266090&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-27 17:27:39+00:00,BudLight,80
Randy Grv,Well there is always PBR..🤪🤪🤪,2,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6995678335435097094&preview_pb=0&share_comment_id=7225714575587935019&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-24 20:23:11+00:00,BudLight,50
Lee,I'll stick with bud light,3,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=7101433268852212779&preview_pb=0&share_comment_id=7225720716298306350&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-24 20:47:03+00:00,BudLight,20
user728913722218,Yuengling is my go-to. Glad I live in their distribution zone….,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6829004830624400390&preview_pb=0&share_comment_id=7226770482884150062&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-27 16:40:49+00:00,BudLight,75
G Robert Scott,"My family and I, never ever again!",3,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6635585870902820870&preview_pb=0&share_comment_id=7226875825914839851&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-27 23:29:21+00:00,BudLight,-70
ThickBurger,My Walmart stopped carrying it 😅,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6997912480253707269&preview_pb=0&share_comment_id=7226769539655467818&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-27 16:37:02+00:00,BudLight,-20
kendra marie,i love bud light and love bud light even nore now.,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=7077259469449610282&preview_pb=0&share_comment_id=7226878657646019374&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-27 23:40:25+00:00,BudLight,85
joewachter388,Yuengling for the win!,1,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=7116371253300823083&preview_pb=0&share_comment_id=7226885842413191978&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-28 00:08:22+00:00,BudLight,50
Country chef,Shinner light ????? Never seen that,2,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6638865586516066309&preview_pb=0&share_comment_id=7225659865011553067&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-24 16:51:04+00:00,BudLight,10
Stephanie Leora,Learn to drink Liquor,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6811903088829203461&preview_pb=0&share_comment_id=7229116215908893483&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-05-04 00:23:13+00:00,BudLight,20
user1851722732944,Yuen,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6807882360580228102&preview_pb=0&share_comment_id=7226170235845460779&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-26 01:51:24+00:00,BudLight,20
Annmarie Puckett,And pocket,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6938517065947595782&preview_pb=0&share_comment_id=7226165118341006122&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-26 01:31:27+00:00,BudLight,25
isurvive43,shiner bock or yuengling,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=7028415479299720197&preview_pb=0&share_comment_id=7226170967444407082&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-26 01:54:07+00:00,BudLight,20
Bob709,💙💙💙,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6771785986831614982&preview_pb=0&share_comment_id=7226171531336188714&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-26 01:56:23+00:00,BudLight,80
mama_reaper,Went to my local Stater Brothers grocery store and they had them in the front on sale lol,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=7036759334437454854&preview_pb=0&share_comment_id=7226174061276332842&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-26 02:06:09+00:00,BudLight,50
Roy,Stay strong,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6813003158995190789&preview_pb=0&share_comment_id=7226162554648757034&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-26 01:21:32+00:00,BudLight,60
stunner,🤣🤣🤣🤣,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6962775116153619461&preview_pb=0&share_comment_id=7226184555072389930&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-26 02:46:53+00:00,BudLight,60
Jerry Jester,Shiner is a really good beer!💯,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=7043408346447954950&preview_pb=0&share_comment_id=7226162029355615022&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-26 01:19:33+00:00,BudLight,70
LB,coors is vat washings from bud,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=7115213161729344554&preview_pb=0&share_comment_id=7226425065701032746&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-26 18:20:27+00:00,BudLight,-50
FormerMarine1975,Bud just lost 6’ of cooler space at the grocery store I go to.,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6803711877563171846&preview_pb=0&share_comment_id=7226474486173549355&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-26 21:32:02+00:00,BudLight,20
brentweber735,Jack Daniel’s,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6975322074559005701&preview_pb=0&share_comment_id=7226157100106875691&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-26 01:00:19+00:00,BudLight,70
Brian Bowers,Shiner Bock! 👊🏽👊🏽,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6848276757808989190&preview_pb=0&share_comment_id=7226154717543367470&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-26 00:51:09+00:00,BudLight,45
The other guy,Let’s make a video after bud just restocked the shelves staged video,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=58500526329331712&preview_pb=0&share_comment_id=7226530574109344555&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-27 01:09:37+00:00,BudLight,20
Carrie,🤣🤣✌️,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=7081383995348370478&preview_pb=0&share_comment_id=7227550836922794798&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-29 19:08:54+00:00,BudLight,90
costa700,you toke Budweiser they are going to take fox news,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=7001273806162772997&preview_pb=0&share_comment_id=7225775963757970222&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-25 00:21:24+00:00,BudLight,-40
cole,God damn Michelob has been fired always🥰🥰,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=7019383313609606149&preview_pb=0&share_comment_id=7227566733305168682&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-29 20:10:45+00:00,BudLight,-80
paulproctor389,good for Budweiser,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6953650891690902533&preview_pb=0&share_comment_id=7227578222501331754&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-29 20:55:09+00:00,BudLight,55
It's_me_Faye,love Shiner!,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6782939475565003782&preview_pb=0&share_comment_id=7225775034982417194&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-25 00:17:45+00:00,BudLight,50
Francis Augustin Travels,I’m sticking with Guinness lol,0,#realmenofgenius #budlight #well #laugh ,https://m.tiktok.com/v/7225656897964150062.html?_d=egleckh145dhmb&comment_author_id=6974009091799892998&preview_pb=0&share_comment_id=7227631144980251438&share_item_id=7225656897964150062&sharer_language=en&source=h5_m&u_code=0,2023-04-30 00:20:27+00:00,BudLight,50
